day,endTime,name,stage,startTime
friday,01:30,TBA,2,00:00
friday,16:55,Anciients,1,16:10
friday,17:40,TBA,2,17:00
friday,18:45,Allegaeon,1,17:45
friday,19:30,The Broken Horizon,2,18:50
friday,20:45,Agent Fresco,1,19:35
friday,21:35,Seething Akira,2,20:50
friday,21:44,Vildhjarta,1,21:20
friday,23:05,Textures,1,21:45
friday,23:55,TBA,2,23:10
saturday,15:00,TBA,2,14:20
saturday,15:50,Karmanjakah,1,15:05
saturday,16:35,TBA,2,15:55
saturday,17:25,The Dali Thundering Concept,1,16:40
saturday,18:10,TBA,2,17:30
saturday,19:00,Gorod,1,18:15
saturday,19:50,Alkera,2,19:05
saturday,20:55,Swallow The Sun,1,19:55
saturday,21:45,Seven Blood,2,21:00
saturday,21:54,The Dear Hunter,1,21:40
saturday,23:40,Decapitated,1,21:55
sunday,15:00,IOTUNN,1,14:20
sunday,15:40,TBA,2,15:05
sunday,16:25,Enterprise Earth,1,15:45
sunday,17:10,INTERRA,2,16:30
sunday,18:00,Panzerballett,1,17:15
sunday,18:55,Fractal Sun,2,18:15
sunday,19:55,Einar Solberg,1,19:00
sunday,20:35,Humanity's Last Breath,1,19:56
sunday,20:55,The Reticent,2,20:10
sunday,22:30,Haken,1,21:00
sunday,End of Times,TBA,2,23:00
